0,words,frequency
hotel,['hotel'],49864
room,['room'],35353
not,['not'],31710
great,['great'],21479
n't,"[""n't""]",19011
good,['good'],17416
staff,['staff'],16635
stay,['stay'],15412
did,['did'],13998
just,['just'],12666
nice,['nice'],12646
rooms,['rooms'],12407
no,['no'],11843
location,['location'],11351
stayed,['stayed'],10500
service,['service'],10372
night,['night'],10162
time,['time'],10131
beach,['beach'],10066
day,['day'],9975
breakfast,['breakfast'],9736
clean,['clean'],9598
food,['food'],9421
like,['like'],8253
resort,['resort'],8150
place,['place'],7791
really,['really'],7790
the,['the'],7590
pool,['pool'],7581
friendly,['friendly'],6894
people,['people'],6840
2,['2'],6823
small,['small'],6597
little,['little'],6260
walk,['walk'],6256
got,['got'],6204
excellent,['excellent'],6192
area,['area'],6120
best,['best'],5749
helpful,['helpful'],5707
bar,['bar'],5579
5,['5'],5532
restaurant,['restaurant'],5339
3,['3'],5216
restaurants,['restaurants'],5142
bathroom,['bathroom'],5105
water,['water'],5036
trip,['trip'],5026
bed,['bed'],5001
recommend,['recommend'],4865
view,['view'],4735
beautiful,['beautiful'],4734
floor,['floor'],4695
went,['went'],4680
comfortable,['comfortable'],4556
desk,['desk'],4475
nights,['nights'],4391
check,['check'],4328
right,['right'],4292
want,['want'],4200
way,['way'],4195
free,['free'],4188
hotels,['hotels'],4161
better,['better'],4154
city,['city'],4141
away,['away'],4119
wonderful,['wonderful'],4107
make,['make'],4080
4,['4'],4017
ç,['ç'],3918
booked,['booked'],3894
bit,['bit'],3880
price,['price'],3878
reviews,['reviews'],3785
large,['large'],3757
street,['street'],3744
minutes,['minutes'],3700
buffet,['buffet'],3602
say,['say'],3577
quite,['quite'],3557
new,['new'],3553
days,['days'],3481
lobby,['lobby'],3468
experience,['experience'],3353
loved,['loved'],3276
10,['10'],3262
going,['going'],3255
morning,['morning'],3242
close,['close'],3193
definitely,['definitely'],3165
airport,['airport'],3058
big,['big'],3054
shower,['shower'],3053
lovely,['lovely'],3050
fantastic,['fantastic'],3033
problem,['problem'],3026
perfect,['perfect'],2958
think,['think'],2956
took,['took'],2952
walking,['walking'],2912
bad,['bad'],2910
we,['we'],2906
week,['week'],2906
lot,['lot'],2902
need,['need'],2898
quiet,['quiet'],2894
arrived,['arrived'],2868
times,['times'],2844
overall,['overall'],2842
1,['1'],2817
use,['use'],2800
old,['old'],2787
i,['i'],2742
money,['money'],2733
beds,['beds'],2725
star,['star'],2723
husband,['husband'],2722
door,['door'],2722
sure,['sure'],2720
long,['long'],2715
told,['told'],2688
drinks,['drinks'],2655
station,['station'],2648
coffee,['coffee'],2646
vacation,['vacation'],2633
left,['left'],2588
worth,['worth'],2552
pretty,['pretty'],2534
know,['know'],2532
é,['é'],2527
said,['said'],2526
eat,['eat'],2502
dinner,['dinner'],2478
enjoyed,['enjoyed'],2458
staying,['staying'],2453
value,['value'],2408
asked,['asked'],2390
main,['main'],2388
try,['try'],2382
located,['located'],2381
things,['things'],2365
looking,['looking'],2355
thing,['thing'],2341
hot,['hot'],2330
nothing,['nothing'],2310
internet,['internet'],2296
feel,['feel'],2279
ok,['ok'],2274
outside,['outside'],2249
lots,['lots'],2240
english,['english'],2234
noise,['noise'],2228
bus,['bus'],2226
amazing,['amazing'],2209
home,['home'],2208
return,['return'],2182
easy,['easy'],2180
fun,['fun'],2179
far,['far'],2175
open,['open'],2166
kids,['kids'],2146
couple,['couple'],2131
family,['family'],2129
wanted,['wanted'],2123
early,['early'],2108
club,['club'],2107
in,['in'],2094
minute,['minute'],2084
year,['year'],2075
guests,['guests'],2075
different,['different'],2067
reception,['reception'],2067
modern,['modern'],2064
